image_name,image_fp,model,na,association_score,dist_to_pleasantness,dist_to_unpleasantness,dist_std,npermutations
CFD-BM-010-019-A.jpg,data/CFD Version 3.0/Images/CFD/BM-010/CFD-BM-010-019-A.jpg,RN50x16,25,-1.3196645975112915,0.1851494461297989,0.2122572511434555,0.0205414351075887,10000.0
CFD-BM-010-003-N.jpg,data/CFD Version 3.0/Images/CFD/BM-010/CFD-BM-010-003-N.jpg,RN50x16,25,-0.7937947511672974,0.1950964331626892,0.2061862051486969,0.0139705790206789,10000.0
CFD-BM-010-004-HO.jpg,data/CFD Version 3.0/Images/CFD/BM-010/CFD-BM-010-004-HO.jpg,RN50x16,25,-0.2153280079364776,0.2035291343927383,0.2063938081264495,0.0133037669584155,10000.0
CFD-BM-010-015-F.jpg,data/CFD Version 3.0/Images/CFD/BM-010/CFD-BM-010-015-F.jpg,RN50x16,25,-0.9978655576705932,0.1913079619407653,0.207463189959526,0.0161897838115692,10000.0
CFD-BM-222-173-N.jpg,data/CFD Version 3.0/Images/CFD/BM-222/CFD-BM-222-173-N.jpg,RN50x16,25,-0.5423232316970825,0.1875088065862655,0.1934670507907867,0.0109865190461277,10000.0
CFD-LF-222-147-N.jpg,data/CFD Version 3.0/Images/CFD/LF-222/CFD-LF-222-147-N.jpg,RN50x16,25,-0.8965908288955688,0.1833924502134323,0.1958396881818771,0.0138828521594405,10000.0
CFD-AM-232-251-N.jpg,data/CFD Version 3.0/Images/CFD/AM-232/CFD-AM-232-251-N.jpg,RN50x16,25,-0.8058872222900391,0.1992653012275695,0.2120092362165451,0.0158135462552309,10000.0
CFD-BM-026-017-A.jpg,data/CFD Version 3.0/Images/CFD/BM-026/CFD-BM-026-017-A.jpg,RN50x16,25,-1.3969827890396118,0.1643799245357513,0.1963936388492584,0.0229163262993097,10000.0
CFD-BM-026-002-N.jpg,data/CFD Version 3.0/Images/CFD/BM-026/CFD-BM-026-002-N.jpg,RN50x16,25,-1.1126257181167605,0.1870652735233307,0.2046649903059005,0.0158181823790073,10000.0
CFD-BM-026-006-HC.jpg,data/CFD Version 3.0/Images/CFD/BM-026/CFD-BM-026-006-HC.jpg,RN50x16,25,-0.1696670800447464,0.1882239580154419,0.1902118474245071,0.0117164123803377,10000.0
CFD-BM-026-041-F.jpg,data/CFD Version 3.0/Images/CFD/BM-026/CFD-BM-026-041-F.jpg,RN50x16,25,-1.2510645389556885,0.1632845997810363,0.1816516816616058,0.0146811632439494,10000.0
CFD-BM-026-009-HO.jpg,data/CFD Version 3.0/Images/CFD/BM-026/CFD-BM-026-009-HO.jpg,RN50x16,25,-0.0782829672098159,0.1878125369548797,0.188757985830307,0.0120773259550333,10000.0
CFD-BM-214-075-N.jpg,data/CFD Version 3.0/Images/CFD/BM-214/CFD-BM-214-075-N.jpg,RN50x16,25,-0.7552721500396729,0.1964692324399948,0.2068029046058654,0.0136820506304502,10000.0
CFD-LF-214-090-N.jpg,data/CFD Version 3.0/Images/CFD/LF-214/CFD-LF-214-090-N.jpg,RN50x16,25,-1.1037511825561523,0.1750090718269348,0.1922488957643509,0.0156193021684885,10000.0
CFD-AM-204-122-N.jpg,data/CFD Version 3.0/Images/CFD/AM-204/CFD-AM-204-122-N.jpg,RN50x16,25,-0.768515944480896,0.1946548670530319,0.2058621346950531,0.0145829990506172,10000.0
CFD-WM-247-084-N.jpg,data/CFD Version 3.0/Images/CFD/WM-247/CFD-WM-247-084-N.jpg,RN50x16,25,-1.0616250038146973,0.1837221384048462,0.2004587948322296,0.0157651305198669,10000.0
