Image Test,Text Test,image_target_dir,image_target_1,image_target_2,image_attribute_dir,image_attribute_1,image_attribute_2,text_file,text_target_1,text_target_2,text_attribute_1,text_attribute_2,order,nt,naa,nab,model,pvalue,effect_size,npermutations
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,215,249,RN50x4,0.3387445887445887,0.25084457,924
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x4,0.999752,-0.35154206,1000000
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,40,47,RN50x4,0.1179653679653679,0.7127419,924
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x4,0.999752,-0.35154206,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,101,112,RN50x4,0.002981,0.608507,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,80,21,21,RN50x4,0.003037,0.43011844,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,56,56,RN50x4,0.449283,0.028374385,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,64,21,21,RN50x4,1e-06,0.852838,1000000
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,25,25,RN50x4,0.7294372294372294,-0.36427668,924
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x4,0.999345,-1.09985,1000000
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,8,8,RN50x4,0.5346320346320347,-0.066530704,924
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x4,0.999345,-1.09985,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,8,8,RN50x4,0.003121,0.604524,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,8,21,21,RN50x4,0.0103341103341103,1.0987997,12870
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,8,8,RN50x4,0.108064,0.27789256,1000000
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,8,21,21,RN50x4,0.0961926961926961,0.6585808,12870
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,image as target,35,215,250,RN50x16,1e-06,1.8134432,1000000
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,text as target,350,55,55,RN50x16,1e-06,1.0284498,1000000
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,RN50x16,0.6277056277056277,-0.19616075,924
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,256,55,55,RN50x16,0.057954,0.13890067,1000000
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,RN50x16,0.6277056277056277,-0.19616075,924
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,RN50x16,0.439,0.01914954,1000000
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,40,47,RN50x16,0.3484848484848485,0.24175553,924
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,RN50x16,0.439,0.01914954,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,image as target,40,101,112,RN50x16,0.067559,0.33480862,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,text as target,64,21,21,RN50x16,0.00442,0.45901385,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,image as target,40,56,56,RN50x16,0.282427,0.12989,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,text as target,80,21,21,RN50x16,0.000848,0.4893448,1000000
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,image as target,6,40,47,RN50x16,0.5454545454545454,-0.06848344,924
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,text as target,64,55,55,RN50x16,0.999815,-0.62217826,1000000
Insect-Flower/Valence,WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,image as target,35,25,25,RN50x16,1e-06,1.8489605,1000000
Insect-Flower/Valence,WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,text as target,25,55,55,RN50x16,2e-06,1.2392163,1000000
Race/Valence,WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,25,25,RN50x16,0.8636363636363636,-0.63977367,924
Race/Valence,WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,32,55,55,RN50x16,0.305739,0.12842377,1000000
Race/Valence,WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,25,25,RN50x16,0.8636363636363636,-0.63977367,924
Race/Valence,WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,16,55,55,RN50x16,0.863037,-0.39196596,1000000
Race/Valence,WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,8,8,RN50x16,0.211038961038961,0.48051462,924
Race/Valence,WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,16,55,55,RN50x16,0.863037,-0.39196596,1000000
Gender/Career vs. Family,WEAT6,Gender,Male,Female,Gender,Career,Family,weat6.jsonl,MaleNames,FemaleNames,Career,Family,image as target,40,8,8,RN50x16,0.006252,0.5531646,1000000
Gender/Career vs. Family,WEAT6,Gender,Male,Female,Gender,Career,Family,weat6.jsonl,MaleNames,FemaleNames,Career,Family,text as target,8,21,21,RN50x16,0.249028749028749,0.3534302,12870
Gender/Science vs. Arts,WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,image as target,40,8,8,RN50x16,0.319966,0.105171576,1000000
Gender/Science vs. Arts,WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,text as target,8,21,21,RN50x16,0.0506604506604506,0.7982451,12870
Age/Valence,WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,image as target,6,8,8,RN50x16,0.79004329004329,-0.4821942,924
Age/Valence,WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,text as target,8,55,55,RN50x16,0.5063714063714063,-0.008387605,12870
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,215,249,RN50x16,0.6277056277056277,-0.19616075,924
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x16,0.035998,0.18229556,1000000
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,40,47,RN50x16,0.3484848484848485,0.24175553,924
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x16,0.035998,0.18229556,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,101,112,RN50x16,0.067559,0.33480862,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,80,21,21,RN50x16,0.026466,0.3052685,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,56,56,RN50x16,0.378854,0.069421045,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,64,21,21,RN50x16,6e-06,0.7568277,1000000
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,25,25,RN50x16,0.8636363636363636,-0.63977367,924
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x16,0.973788,-0.70532566,1000000
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,8,8,RN50x16,0.211038961038961,0.48051462,924
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x16,0.973788,-0.70532566,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,8,8,RN50x16,0.006252,0.5531646,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,8,21,21,RN50x16,0.3257187257187257,0.2380014,12870
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,8,8,RN50x16,0.319966,0.105171576,1000000
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,8,21,21,RN50x16,0.1083916083916083,0.62984365,12870
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,image as target,35,215,250,RN50x64,1e-06,1.8369164,1000000
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,text as target,350,55,55,RN50x64,1e-06,1.0651574,1000000
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,RN50x64,0.0670995670995671,0.90000916,924
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,256,55,55,RN50x64,1e-06,0.44524604,1000000
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,RN50x64,0.0670995670995671,0.90000916,924
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,RN50x64,0.001075,0.3834512,1000000
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,40,47,RN50x64,0.0238095238095238,1.124624,924
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,RN50x64,0.001075,0.3834512,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,image as target,40,101,112,RN50x64,0.131561,0.25209305,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,text as target,64,21,21,RN50x64,0.256987,0.11614742,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,image as target,40,56,56,RN50x64,0.155423,0.22755566,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,text as target,80,21,21,RN50x64,0.180346,0.14480092,1000000
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,image as target,6,40,47,RN50x64,0.9816017316017316,-1.166129,924
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,text as target,64,55,55,RN50x64,0.458072,0.018583305,1000000
Insect-Flower/Valence,WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,image as target,35,25,25,RN50x64,1e-06,1.8462297,1000000
Insect-Flower/Valence,WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,text as target,25,55,55,RN50x64,2e-06,1.2008713,1000000
Race/Valence,WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,25,25,RN50x64,0.0183982683982684,1.1742034,924
Race/Valence,WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,32,55,55,RN50x64,0.154252,0.25697315,1000000
Race/Valence,WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,25,25,RN50x64,0.0183982683982684,1.1742034,924
Race/Valence,WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,16,55,55,RN50x64,0.10679,0.44641635,1000000
Race/Valence,WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,8,8,RN50x64,0.3235930735930736,0.27862555,924
Race/Valence,WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,16,55,55,RN50x64,0.10679,0.44641635,1000000
Gender/Career vs. Family,WEAT6,Gender,Male,Female,Gender,Career,Family,weat6.jsonl,MaleNames,FemaleNames,Career,Family,image as target,40,8,8,RN50x64,0.041427,0.38805702,1000000
Gender/Career vs. Family,WEAT6,Gender,Male,Female,Gender,Career,Family,weat6.jsonl,MaleNames,FemaleNames,Career,Family,text as target,8,21,21,RN50x64,0.252059052059052,0.3556194,12870
Gender/Science vs. Arts,WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,image as target,40,8,8,RN50x64,0.026116,0.4326923,1000000
Gender/Science vs. Arts,WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,text as target,8,21,21,RN50x64,0.1207459207459207,0.59377587,12870
Age/Valence,WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,image as target,6,8,8,RN50x64,0.9967532467532468,-1.5391757,924
Age/Valence,WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,text as target,8,55,55,RN50x64,0.0942501942501942,0.67096996,12870
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,215,249,RN50x64,0.0670995670995671,0.90000916,924
Race/Valence,SENT-WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x64,0.008486,0.2419715,1000000
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,40,47,RN50x64,0.0238095238095238,1.124624,924
Race/Valence,SENT-WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,195,55,55,RN50x64,0.008486,0.2419715,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,101,112,RN50x64,0.131561,0.25209305,1000000
Gender/Career vs. Family,SENT-WEAT6B,Gender,Male,Female,Gender,Career,Family,sent-weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,80,21,21,RN50x64,0.098939,0.203963,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,56,56,RN50x64,0.143968,0.23879397,1000000
Gender/Science vs. Arts,SENT-WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,64,21,21,RN50x64,0.001168,0.5362238,1000000
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,25,25,RN50x64,0.0183982683982684,1.1742034,924
Race/Valence,WEAT3B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat3b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x64,0.432261,0.06527475,1000000
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,image as target,6,8,8,RN50x64,0.3235930735930736,0.27862555,924
Race/Valence,WEAT5B,Race,European-American,African-American,Valence,Pleasant,Unpleasant,weat5b.jsonl,EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,text as target,15,55,55,RN50x64,0.432261,0.06527475,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,image as target,40,8,8,RN50x64,0.041427,0.38805702,1000000
Gender/Career vs. Family,WEAT6B,Gender,Male,Female,Gender,Career,Family,weat6b.jsonl,MaleTerms,FemaleTerms,Career,Family,text as target,8,21,21,RN50x64,0.258041958041958,0.3362944,12870
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,image as target,40,8,8,RN50x64,0.026116,0.4326923,1000000
Gender/Science vs. Arts,WEAT8B,Gender,Male,Female,Gender,Science,Liberal-Arts,weat8b.jsonl,MaleNames,FemaleNames,Science,Arts,text as target,8,21,21,RN50x64,0.1483294483294483,0.5384822,12870
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,image as target,35,215,250,ViT-B/32,1e-06,1.8556683,1000000
Insect-Flower/Valence,SENT-WEAT1,Insect-Flower,Flower,Insect,Valence,Pleasant,Unpleasant,sent-weat1.jsonl,Flowers,Insects,Pleasant,Unpleasant,text as target,350,55,55,ViT-B/32,1e-06,1.3954684,1000000
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,ViT-B/32,0.6352813852813853,-0.25489596,924
Race/Valence,SENT-WEAT3,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat3.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,256,55,55,ViT-B/32,0.341869,0.03592445,1000000
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,215,249,ViT-B/32,0.6352813852813853,-0.25489596,924
Race/Valence,SENT-WEAT4,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat4.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,ViT-B/32,0.995901,-0.32838142,1000000
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,image as target,6,40,47,ViT-B/32,0.5032467532467533,-0.008913521,924
Race/Valence,SENT-WEAT5,Race,European-American,African-American,Valence,Pleasant,Unpleasant,sent-weat5.jsonl,EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,text as target,128,55,55,ViT-B/32,0.995901,-0.32838142,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,image as target,40,101,112,ViT-B/32,0.040741,0.38962767,1000000
Gender/Career vs. Family,SENT-WEAT6,Gender,Male,Female,Gender,Career,Family,sent-weat6.jsonl,MaleNames,FemaleNames,Career,Family,text as target,64,21,21,ViT-B/32,0.286378,0.100296855,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,image as target,40,56,56,ViT-B/32,0.283063,0.12972857,1000000
Gender/Science vs. Arts,SENT-WEAT8,Gender,Male,Female,Gender,Science,Liberal-Arts,sent-weat8.jsonl,MaleTerms,FemaleTerms,Science,Arts,text as target,80,21,21,ViT-B/32,1e-06,0.83554786,1000000
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,image as target,6,40,47,ViT-B/32,0.2554112554112554,0.41989166,924
Age/Valence,SENT-WEAT10,Age,Young,Old,Valence,Pleasant,Unpleasant,sent-weat10.jsonl,YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,text as target,64,55,55,ViT-B/32,0.925645,-0.25569814,1000000
