Title,X,Y,A,B,nt,na,Target,model,pvalue,effect_size,npermutations
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,24,Valence,RN50x16,1e-06,1.9043537,1000000
Native,Euro,Native,US,World,8,24,Native,RN50x16,0.944133644133644,-0.80683714,12870
Native,Euro,Native,Pleasant,Unpleasant,8,24,Valence,RN50x16,0.9456876456876456,-0.8059936,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,24,Valence,RN50x16,0.0032467532467532,1.4330633,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,24,Valence,RN50x16,0.1244172494172494,0.63172483,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,24,Valence,RN50x16,0.7767791032496915,-0.37403315,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,24,Valence,RN50x16,0.935897435897436,-0.8188472,3432
Weapon,White,Black,Tool,Weapon,6,24,Weapon,RN50x16,0.0346320346320346,1.0641292,924
Weapon,White,Black,Pleasant,Unpleasant,6,24,Valence,RN50x16,0.0584415584415584,0.9207938,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,24,Valence,RN50x16,0.0006657429258048,1.3255112,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN50,0.5010822510822511,-0.0027971228,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN50,0.0066303665374872,0.99255604,184756
Asian,European-American,Asian-American,US,World,6,6,Native,RN50,0.2164502164502164,0.48328078,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,RN50,0.5303030303030303,-0.03360466,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN50,0.0571428571428571,1.2025635,70
Gender,Male,Female,Career,Family,40,21,Gender,RN50,0.001336,0.66095054,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,RN50,0.998671,-0.65067446,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN50,0.95989,-0.39101717,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN50,1e-06,1.898024,1000000
Native,Euro,Native,US,World,8,5,Native,RN50,0.258041958041958,0.3376707,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,RN50,0.1198912198912199,0.6012017,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN50,0.0173160173160173,1.2334807,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN50,0.4181235431235431,0.10981166,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN50,0.7364047716988893,-0.30616334,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN50,0.8717948717948718,-0.64426374,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN50,0.7229437229437229,-0.35812238,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,RN50,0.1201298701298701,0.72003424,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,RN50,0.7229437229437229,-0.35812238,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50,0.0031825759379938,1.1621759,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN101,0.987012987012987,-1.2133355,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN101,0.0023273939682608,1.1244771,184756
Asian,European-American,Asian-American,US,World,6,6,Native,RN101,0.5162337662337663,-0.02194529,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,RN101,0.512987012987013,-0.018239044,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN101,0.0285714285714285,1.4939667,70
Gender,Male,Female,Career,Family,40,21,Gender,RN101,0.006761,0.547273,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,RN101,0.999998,-0.9263512,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN101,0.023759,0.44125068,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN101,1e-06,1.8882693,1000000
Native,Euro,Native,US,World,8,5,Native,RN101,0.1846930846930846,0.51371455,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,RN101,0.3010878010878011,0.27142704,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN101,0.0497835497835497,0.966688,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN101,0.1614219114219114,0.5422634,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN101,0.6095228301110655,-0.13604464,48620
